诺基亚X71	黑色	157	76	180	unknown	双卡双待单通		64GB	6GB	6.39 英寸	2310x1080	unknown		unknown	3500	3.5mm	Type-C

5--->太空黑	6GB+128GB	2019-04-21 21:55--->很赞，很喜欢。手感很棒。物流速度超级快，赞一个。当天下单，当天收到。手机拿到手感很不错，外形100分，即使不喜欢金属条框，也中意这款手机。给安排了手机壳，简直完美。用了几天来评价，速度很流畅，我不玩游戏。就正常通话，~，~~类，电池可以用一天，还不错。手机没有发热卡顿的现象~总体来说就是四个字：爱不释手。
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-07 11:42--->不错，真心超值了！被质量，电量和拍照惊艳到，绝壁不是只有2000不到的手机的感觉！因为不打游戏，所以没法说性能。就差人性化操作再优化下，特别是qq和~之间办公文件转发找不到对方应用，主题再多些，拍照花哨的功能学习下华为，就完美了！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-17 13:32--->优点：可以说是颜值实力并重，鱼和熊掌可兼得 拍照很清晰，美颜很强大，适合年轻人使用 机器很漂亮，很薄，看上去很高档的样子缺点：性能还是提升的空间
5--->太空黑	6GB+64GB	x71	2019-07-15 15:09--->用起来觉得还可以，玩游戏以外，手机性能已经过剩！~.QQ.拍照.上网.几个购物软件.这手机配置已经很高了，玩游戏在手机上玩不下去！屏幕太小了！看着很不舒服！这机子电池要大点就完美，只折腾下拍照.~.35小时还19%的电量，以下图片拍照觉得还很不错！图片放大还能很清晰看到字体，上传图片放大有限，在手机上可以放得更大！放更大字体还不会模糊！在手机放更大截图右下方日期时间给大家看，后面两张是前两张照片在手机上放大右下方字体的效果！
5--->太空黑	6GB+64GB	2019-04-19 21:08--->刚看到诺基亚x71就被吸引了，点睛屏很漂亮，也很惊艳，蔡司镜头拍照给力，660芯片日常够用，17号10点抢的，破坏18号到的，还送了耳机，触摸很灵敏，电话很漂亮，还是以前的诺基亚，相信诺基亚的品质，十多年前的5800还在当闹钟用，终于等到你，电话还没咋地就换了（捂脸）。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-29 05:31--->做工精致，很有质感；屏幕显示细腻，拍照很清晰；信号也很好，电池耐用；原生系统纯净，系统运行很快；非常满意！
5--->暮夜红	6GB+128GB	官方标配	2018-10-27 20:58--->质量好，照相清楚，手感顺滑，大方简单。比较重，暗红色，可以调护眼模式，较暗。屏幕瘦高，横屏比竖屏顺眼。性价比较高，物超所值。音乐方面，音乐效果一斑，没有三星好听，效果好。看来主要是拍照强大。
5--->暗夜蓝	6GB+64GB	官方标配	2018-12-02 22:59--->手机非常好用，1.原生系统就是流畅，2.诺基亚外观硬朗，耐看，双面玻璃手感非常nice，3.镜头是卡尔蔡司，用过塞班的都知道质量很好，4.原生系统可玩性高，内置了商店和浏览器都是~提供的服务还有负一屏的常用功能，实用，没有多余功能。5.比国产同等价位的值6.这个lcd屏幕应该是最好的了，显示效果非常棒，6.nokia标志加信仰，更舒服。
5--->太空黑	6GB+128GB	x71	2019-06-18 21:25--->宝贝收到了，真的很漂亮，从外观到手感。显示区域面积大，关键屏幕转角都是圆滑的跟以往手机屏幕显示不一样。看起来很舒服，前置摄像头是安在屏幕下面的，设计很厉害。后面三摄像头蔡司认证镜头。很愉快的一次购物。感谢京东相关工作人员！
5--->幻夜银	6GB+64GB	官方标配	2018-12-04 16:33--->我购买这个诺机，首先是情怀，从诺机到苹果4s再到6s，如今大屏横行当道，回归诺机，基本没有失望！第二就是观看视频，效果不错，虽然没有真的全屏，己经很满意了，主要还是价格实惠！性价比超高！x7的优点：系统纯净，有自带的管家，用于清理内存和病毒，感觉非常安全纯净，电池耐用，追剧感觉播放好多集，电池下降很少，比苹果耐用太多了，惊喜哦！缺点：容易误操作，一个手势，就返回了，我也是醉了！总之，这是一款情怀的良心之作！
5--->太空黑	6GB+128GB	2019-04-21 21:55--->很赞，很喜欢。手感很棒。物流速度超级快，赞一个。当天下单，当天收到。手机拿到手感很不错，外形100分，即使不喜欢金属条框，也中意这款手机。给安排了手机壳，简直完美。用了几天来评价，速度很流畅，我不玩游戏。就正常通话，~，~~类，电池可以用一天，还不错。手机没有发热卡顿的现象~总体来说就是四个字：爱不释手。
5--->暗夜蓝	6GB+64GB	官方标配	2019-02-07 11:42--->不错，真心超值了！被质量，电量和拍照惊艳到，绝壁不是只有2000不到的手机的感觉！因为不打游戏，所以没法说性能。就差人性化操作再优化下，特别是qq和~之间办公文件转发找不到对方应用，主题再多些，拍照花哨的功能学习下华为，就完美了！
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-17 13:32--->优点：可以说是颜值实力并重，鱼和熊掌可兼得 拍照很清晰，美颜很强大，适合年轻人使用 机器很漂亮，很薄，看上去很高档的样子缺点：性能还是提升的空间
5--->太空黑	6GB+64GB	x71	2019-07-15 15:09--->用起来觉得还可以，玩游戏以外，手机性能已经过剩！~.QQ.拍照.上网.几个购物软件.这手机配置已经很高了，玩游戏在手机上玩不下去！屏幕太小了！看着很不舒服！这机子电池要大点就完美，只折腾下拍照.~.35小时还19%的电量，以下图片拍照觉得还很不错！图片放大还能很清晰看到字体，上传图片放大有限，在手机上可以放得更大！放更大字体还不会模糊！在手机放更大截图右下方日期时间给大家看，后面两张是前两张照片在手机上放大右下方字体的效果！
5--->太空黑	6GB+64GB	2019-04-19 21:08--->刚看到诺基亚x71就被吸引了，点睛屏很漂亮，也很惊艳，蔡司镜头拍照给力，660芯片日常够用，17号10点抢的，破坏18号到的，还送了耳机，触摸很灵敏，电话很漂亮，还是以前的诺基亚，相信诺基亚的品质，十多年前的5800还在当闹钟用，终于等到你，电话还没咋地就换了（捂脸）。
5--->暗夜蓝	6GB+64GB	官方标配	2019-01-29 05:31--->做工精致，很有质感；屏幕显示细腻，拍照很清晰；信号也很好，电池耐用；原生系统纯净，系统运行很快；非常满意！
5--->暮夜红	6GB+128GB	官方标配	2018-10-27 20:58--->质量好，照相清楚，手感顺滑，大方简单。比较重，暗红色，可以调护眼模式，较暗。屏幕瘦高，横屏比竖屏顺眼。性价比较高，物超所值。音乐方面，音乐效果一斑，没有三星好听，效果好。看来主要是拍照强大。
